Element;h_index;g_index;m_index;TC;NP;PY_start
BARTON CM;2;2;0,250;35;2;2015
BARTON JK;1;1;0,059;87;1;2006
BARUNIK J;1;1;0,167;22;1;2017
BASARAN B;1;1;0,200;8;1;2018
BASCI E;1;1;0,042;18;1;1999
BASHIR K;1;1;0,333;2;1;2020
BASINSKAS G;2;2;0,222;13;2;2014
BASKIN EP;1;1;0,034;31;1;1994
BASOMBRIO MA;1;1;0,125;15;1;2015
BASSAGANYA-RIERA J;1;1;0,125;13;1;2015
BASSET O;1;1;0,083;29;1;2011
BASSOLILLO SR;1;1;0,333;6;1;2020
BASTARDIE F;1;1;0,167;18;1;2017
BASTARDOZ N;1;1;0,111;63;1;2014
BASTIAN ND;1;1;0,143;1;1;2016
BASU P;1;1;0,083;2;1;2011
BATCHELOR B;1;1;0,091;25;1;2012
BATISTA JD;1;1;0,125;9;1;2015
BATISTELLA M;1;1;0,333;9;1;2020
BATLLE C;1;1;0,111;10;1;2014
BATTU B;1;1;0,333;1;1;2020
BATTY M;1;1;0,063;101;1;2007
BATZIOS A;1;1;0,067;15;1;2008
BAUMANN M;1;1;0,333;8;1;2020
BAUMANN S;1;1;0,063;9;1;2007
BAUR I;1;1;0,500;1;1;2021
BAUZA F;1;1;0,333;4;1;2020
BAYARD DS;1;1;0,125;24;1;2015
BAYATI BS;1;1;0,167;5;1;2017
BAYLISS S;1;1;0,063;46;1;2007
BAYLOR AL;1;1;0,067;29;1;2008
BAYLY MB;1;1;0,056;2;1;2005
BAYRAK ES;1;1;0,100;84;1;2013
BAZARGAN-LARI MR;1;1;0,250;6;1;2019
BAZIN N;1;1;0,125;11;1;2015
BAZJANAC V;1;1;0,167;2;1;2017
BEALE S;1;1;0,091;12;1;2012
BEAULIEU J;1;1;0,056;24;1;2005
BECCHIO C;1;1;0,067;100;1;2008
BECHER MA;1;1;0,200;29;1;2018
BECHIKH S;1;1;0,333;1;1;2020
BECK SM;1;1;0,250;11;1;2019
BECKAGE B;2;2;0,250;41;2;2015
BECKER DV;1;1;0,083;17;1;2011
BEDDER RL;1;1;0,250;10;1;2019
BEDIA MG;1;2;0,125;8;2;2015
BEENKEN SW;1;1;0,042;11;1;1999
BEER RD;1;1;0,125;3;1;2015
BEGLIOMINI C;1;1;0,167;4;1;2017
BEHDAD S;1;1;0,143;15;1;2016
BEHESHTI R;1;1;0,167;5;1;2017
BEHN CGD;1;1;0,077;37;1;2010
BEIGI A;1;1;0,143;2;1;2016
BEKELE BN;1;1;0,053;86;1;2004
BEKELIS K;1;1;0,077;44;1;2010
BEKEY GA;1;1;0,038;16;1;1997
BELCHER AM;1;1;0,167;32;1;2017
BELHADI A;1;1;0,500;1;1;2021
BELING P;1;1;0,200;6;1;2018
BELKASMI SFZ;1;1;0,200;10;1;2018
BELL AR;2;2;0,167;14;2;2011
BELL KRW;1;1;0,077;11;1;2010
BELL MGH;1;1;0,125;68;1;2015
BELLAMINE BEN SAOUD N;1;1;0,143;1;1;2016
BELLAS R;1;1;0,333;2;1;2020
BELLAUBI F;1;1;0,167;9;1;2017
BELLES P;1;1;0,071;9;1;2009
BELLIER B;1;1;0,063;62;1;2007
BELPAIRE FM;1;1;0,045;8;1;2001
